hour,pv_generation_kw
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,4.897332197344663
9,9.204045322715727
10,13.55789323464911
11,15.807307955362106
12,18.575299459394387
13,18.41293076381781
14,19.136929511991802
15,15.670902180008826
16,14.403048644608692
17,9.309905640437599
18,4.860404619442712
19,2.3926212162743204e-15
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,5.18633633882398
33,9.037851786283934
34,13.885331724352856
35,18.54106763817615
36,18.45338602163167
37,15.959527879706819
38,17.845025939466538
39,15.18586296608216
40,11.691606005860288
41,10.10251281301754
42,3.7616454379069113
43,2.125828419198774e-15
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,4.815576448635748
57,10.750941802526818
58,13.292056696424995
59,13.812272066176403
60,17.492157617495522
61,18.255765991473396
62,18.21279189532431
63,15.397024428123732
64,13.864625706769639
65,10.626521932863817
66,4.361160938694127
67,2.193892829999498e-15
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,4.806587011738708
81,7.63120449395301
82,12.12718040308782
83,15.750586317377529
84,18.00985413512066
85,17.811274878408906
86,18.046442508177513
87,14.955926275898216
88,12.978292181180695
89,9.742100712472048
90,4.977965808584147
91,2.4822278945422434e-15
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,5.139054724806508
105,8.785572070400093
106,13.456319110110273
107,16.461436822833246
108,19.066957147431953
109,17.745536369998096
110,19.490020800197286
111,14.688441908967553
112,13.627055313785638
113,9.42949205812119
114,4.610679138216319
115,2.1713584168327816e-15
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,5.2720944461709776
129,8.310362697177588
130,12.798021652006963
131,15.09845363200708
132,17.959641989455285
133,18.985800626603723
134,18.625378137964347
135,15.284876973805542
136,11.977467420621148
137,9.35076500496998
138,4.712242867198088
139,2.134369567399805e-15
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,5.077664845578845
153,10.544783174689343
154,13.793823168229387
155,15.177737851491852
156,18.948972527017936
157,17.662621297738326
158,19.143626886053756
159,15.959079932774335
160,14.35904694363883
161,8.835551078967775
162,4.71372625294961
163,2.3986910153959243e-15
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,5.118688441694942
177,8.958510597321677
178,13.994773525193027
179,15.489042571092345
180,19.59565588842848
181,18.342241649806436
