day,hour,load_kw
1,1,15.070489191191932
1,2,10.786746197260843
1,3,7.9303939892416
1,4,7.4819813590786755
1,5,9.205041400539152
1,6,15.176330220212325
1,7,21.90704958502368
1,8,28.345419854807226
1,9,32.26366870553529
1,10,30.06104757892112
1,11,26.10080162206888
1,12,29.360915119117376
1,13,32.952500671277036
1,14,29.497430087549244
1,15,26.417374462358666
1,16,30.247121545453105
1,17,41.17211268884172
1,18,52.28215779424514
1,19,59.73585521149233
1,20,54.9148023187949
1,21,50.6209788774375
1,22,44.26036970050505
1,23,33.93483398807503
1,24,22.292274984494323
2,1,15.235828872006469
2,2,11.136228751759882
2,3,8.009868927963051
2,4,7.453395000590914
2,5,9.388052616605796
2,6,14.153091281826383
2,7,22.325328529143842
2,8,27.697536033310524
2,9,33.580186349678755
2,10,31.59550580557613
2,11,25.85558181024047
2,12,30.707293244404724
2,13,33.65431408111493
2,14,30.936295588505224
2,15,26.18188911756068
2,16,30.365007025083095
2,17,41.65427566265944
2,18,53.27268371796222
2,19,59.86373546617895
2,20,56.094582878702795
2,21,51.202342697416775
2,22,44.439172392870546
2,23,32.24779903069103
2,24,23.15661098671644
3,1,15.424378697102057
3,2,10.567201517903534
3,3,8.049004124791024
3,4,7.13862059813362
3,5,9.454634391618503
3,6,14.028208881349627
3,7,22.069479302982277
3,8,28.82306983990692
3,9,33.3918038538745
3,10,30.22816811405604
3,11,27.31968205876076
3,12,31.05737735547367
3,13,33.54987509763574
3,14,30.44415835619833
3,15,27.63252042039793
3,16,30.38977197819421
3,17,40.57547548996771
3,18,53.25932882235942
3,19,64.14541758401435
3,20,56.4286702104854
3,21,51.51503006595479
3,22,44.89135622835374
3,23,32.330747156365184
3,24,22.189041952622052
4,1,14.715851762569521
4,2,10.551830836336197
4,3,8.433206959896653
4,4,7.11882889377092
4,5,9.665964551756696
4,6,15.208646071511037
4,7,22.162299351504686
4,8,26.919608643953154
4,9,33.60322368501084
4,10,29.763190491664513
4,11,26.559188918413053
4,12,29.384429633960416
4,13,34.97476422978372
4,14,29.46149995589448
4,15,25.738616399199746
4,16,30.691323460184886
4,17,41.55867990063164
4,18,53.994582682816485
4,19,59.83935471131315
4,20,55.83514761467719
4,21,51.03222242665785
4,22,43.67937661211134
4,23,34.86601603875997
4,24,22.439977402499228
5,1,14.536071279681908
5,2,10.640102430445886
5,3,8.675457795558799
5,4,6.877283958732082
5,5,9.585839888690845
5,6,14.12545828145223
5,7,21.36401979492901
5,8,28.127582367606067
5,9,32.977068689020925
5,10,30.138870208251596
5,11,26.473965765124298
5,12,30.7317153124891
5,13,33.74153625651424
5,14,29.984522004313824
5,15,25.117024873597227
5,16,29.43399999318101
5,17,41.969245785642144
5,18,51.75255240496732
5,19,60.61511079628456
5,20,55.63170431251188
5,21,50.3008849530636
5,22,43.5608880456961
5,23,33.48145451433839
5,24,22.612865302570274
6,1,13.204841564712876
6,2,9.07106213143795
6,3,6.880330281037414
6,4,6.211041018754574
6,5,8.306836950070426
6,6,12.94960159909218
6,7,18.683730129779924
6,8,23.74814017697575
6,9,29.575273917956704
6,10,26.70613810180777
6,11,22.32279051804908
6,12,25.843722700863935
6,13,28.864478836744986
6,14,25.754398910538583
6,15,21.96551772873662
6,16,26.2527769021066
6,17,36.68447732615306
6,18,43.121646912695496
6,19,50.9579599108232
6,20,48.130471378153636
6,21,43.23027229755887
6,22,38.199323048973355
6,23,27.59734395520542
6,24,19.422312220518975
7,1,12.81418168770169
7,2,9.321417190857602
7,3,7.20437404126896
7,4,6.333936957910239
7,5,8.561420496206642
7,6,12.895276416875278
7,7,18.837238210141074
7,8,24.280060236245443
7,9,28.50322743481329
7,10,27.498323981287715
7,11,21.978535126030966
7,12,26.58721634562659
7,13,28.41982771559348
7,14,25.96326262185599
7,15,21.597687984327415
7,16,26.420259458737632
7,17,34.672594089183356
7,18,45.23636724086499
7,19,52.56388680588521
7,20,46.437000606896405
7,21,42.80579252147418
7,22,38.950973134572195
7,23,28.67542542612463
7,24,19.98420435043627
8,1,14.326991053749012
8,2,10.682009245641956
8,3,8.567358071019896
8,4,7.308964342597696
8,5,9.549196819071957
8,6,14.560181234305013
8,7,21.790753543943495
8,8,28.48798095970189
8,9,33.72288760278987
8,10,30.70368468207426
8,11,26.17118636271222
8,12,30.44989267268578
8,13,31.02237032619812
8,14,30.23993943275857
8,15,25.36933163582856
8,16,29.93021554250955
8,17,38.74052519186905
8,18,54.06778309004655
8,19,61.50654048856918
8,20,55.51292177439075
8,21,51.54965489681889
8,22,45.404420188936946
8,23,32.43134883648642
8,24,22.41348035279377
9,1,15.136500917336452
9,2,10.07878872151839
9,3,8.245457080509913
9,4,7.244695333107015
9,5,9.866351049398496
9,6,15.193031245225466
9,7,22.145038591516187
9,8,27.349006621203724
9,9,33.668919597339325
9,10,29.660725099957347
9,11,27.081780177594425
9,12,29.415823663481238
9,13,31.485019997252948
9,14,29.588500015320594
9,15,25.25488004904808
9,16,31.38200189991699
9,17,41.27417336677734
9,18,53.16584594755787
9,19,59.78467208871885
9,20,57.242517541595575
9,21,50.18107614702254
9,22,45.88447186778161
9,23,33.94495659169517
9,24,23.040166967374763
10,1,15.02258511110043
10,2,10.814627447457516
10,3,8.257796958110214
10,4,7.338516593275027
10,5,9.910254430683
10,6,14.896921053768084
10,7,21.06826770735538
10,8,27.776018648854503
10,9,33.51425032241863
10,10,30.970939186814917
10,11,26.697339175221046
10,12,30.868512974766674
10,13,33.841833060461155
10,14,30.2950844109398
10,15,25.552833679983696
10,16,29.859680801937078
10,17,41.440108028373324
10,18,51.20421859860065
10,19,61.33251820087052
10,20,56.03634587395211
10,21,50.89635578422479
10,22,45.86373349041789
10,23,33.544697456876186
10,24,21.949815076913403
11,1,14.29293242625143
11,2,10.43302457217095
11,3,7.885629816544661
11,4,7.357019964028107
11,5,9.773574981348006
11,6,14.752656134589172
11,7,21.141745233732514
11,8,28.50991561139881
11,9,34.26854273034953
11,10,30.24790413474765
11,11,25.773119460576854
11,12,30.542929665185703
11,13,32.20148757789926
11,14,30.125697333181506
11,15,24.28388568527013
11,16,31.17564169489634
11,17,41.14179295856081
11,18,53.09377355997173
11,19,59.51947313634379
11,20,55.67814154773078
11,21,52.19182860124061
11,22,45.81618135696213
11,23,30.58985561975812
11,24,23.472430333099325
12,1,15.020281715913542
12,2,10.841624638429556
12,3,8.266901329070699
12,4,7.459706734311636
12,5,10.031282419360311
12,6,15.477814194338002
12,7,21.150753077013015
12,8,27.952486984173774
12,9,33.181102753935235
12,10,29.886094311565877
12,11,26.69099966913454
12,12,29.906897576204212
12,13,33.78505064945308
12,14,31.905050083073576
12,15,26.01779432670832
12,16,29.857682155772334
12,17,39.99327237117711
12,18,51.80836489072787
12,19,61.68882537367368
12,20,58.48592071242567
12,21,52.78200358772679
12,22,46.16823882930086
12,23,34.127744724121
12,24,23.418812259162237
13,1,12.965532635066829
13,2,9.173668707461548
13,3,6.805737466052495
13,4,6.356311336557391
13,5,7.9249138382116
13,6,12.42627249411074
13,7,18.596226867312467
13,8,23.88505931204297
13,9,27.460276632396255
13,10,25.99690732979018
13,11,22.57230860019907
13,12,26.035698964730717
13,13,27.526900357423237
13,14,26.390247180064414
13,15,22.55854948608786
13,16,26.265276089390056
13,17,33.47692783035264
13,18,43.656283311486945
13,19,54.6625851173516
13,20,48.958257866362885
13,21,44.752640789407245
13,22,38.746226553740854
13,23,28.07705480823608
13,24,19.119557688613806
14,1,13.057525535740455
14,2,9.317772364382058
14,3,6.907856101181621
14,4,6.14931812776592
14,5,7.77950238501397
14,6,13.060876991302385
14,7,19.57277990641314
14,8,23.30195287748923
14,9,29.41118438073224
14,10,26.086613377332935
14,11,21.846816331598806
14,12,25.953570244928773
14,13,27.64191429475087
14,14,26.989182928541393
14,15,22.744702723351622
14,16,25.501989912630133
14,17,34.9034025936982
14,18,46.28556186949413
14,19,50.90943690493659
14,20,47.68717153006967
14,21,43.33110039722283
14,22,37.41600635369209
14,23,27.049701991234436
14,24,20.04246418986432
15,1,14.858979373473488
15,2,11.069451786329637
15,3,8.138351520183942
15,4,6.846553186422545
15,5,9.798436028494487
15,6,14.466458518515806
15,7,21.2341229498496
15,8,27.804512843606354
15,9,33.71873950667999
15,10,30.480225434428455
15,11,25.25272780422084
15,12,31.091012161733964
15,13,33.56777184029673
15,14,31.36803239756977
15,15,26.74649360647149
15,16,29.943767573313156
15,17,40.69242137893774
15,18,53.484819471194314
15,19,59.23634301493127
15,20,56.62123610048863
15,21,51.69514100320839
15,22,46.29388599895721
15,23,34.89737823265178
15,24,21.978361426652405
16,1,15.305329523861404
16,2,10.275111498330505
16,3,8.312779275960471
16,4,7.39915735796343
16,5,9.67073668436513
16,6,14.034146934389973
16,7,21.02695072871976
16,8,28.789051435595134
16,9,32.430453705096184
16,10,30.856800261007653
16,11,25.26061960409099
16,12,30.571497843688768
16,13,33.497066175392085
16,14,30.105189206876503
16,15,26.02963950980116
16,16,31.66059736852942
16,17,41.59158306883951
16,18,54.51010983147661
16,19,58.48929023349126
16,20,54.036791287691536
16,21,52.72975561802465
16,22,44.08040144458097
16,23,32.546651182895616
16,24,22.57257040127638
17,1,14.353532310899256
17,2,10.462187344688441
17,3,8.130422464375508
17,4,7.101833634279444
17,5,9.685697585635127
17,6,13.749330607055132
17,7,22.198977536673745
17,8,27.62288051983903
17,9,33.77306766207213
17,10,30.199760140882205
17,11,25.90952882821998
17,12,30.590681962775673
17,13,34.72273532919416
17,14,31.02756581294233
17,15,27.088312478789287
17,16,30.102121524657147
17,17,41.51677693963045
17,18,54.12309520769349
17,19,60.67360281199745
17,20,55.648701312650736
17,21,51.49634742595565
17,22,47.61202740618821
17,23,34.240511776282865
17,24,23.62328816184242
18,1,14.946719797955366
18,2,10.031246885219648
18,3,8.508166728499967
18,4,7.318057794247407
18,5,10.10571954582485
18,6,14.568442923191297
18,7,22.547247425562265
18,8,27.160937911700536
18,9,33.78287527835393
18,10,30.783432755576285
18,11,25.57854161469848
18,12,30.746251957225045
18,13,34.20414423313933
18,14,30.701866594747727
18,15,27.923417504333738
18,16,29.727200511990894
18,17,40.24937827094937
18,18,52.18048728610078
18,19,58.897251466105544
18,20,54.471099261526085
18,21,50.93946359323251
18,22,47.000418961123344
18,23,34.35956392962884
18,24,23.447723997445763
19,1,15.035583225039725
19,2,10.647168665538091
19,3,8.430617935858491
19,4,7.476516229683546
19,5,9.399235796623476
19,6,15.22724344485502
19,7,20.984591994517448
19,8,27.191150665539407
19,9,33.69421198933251
19,10,30.369194014197653
19,11,26.20698629264718
19,12,29.885372107321736
19,13,31.869771694458475
19,14,30.195973374282072
19,15,25.90765413332021
19,16,30.689701978790005
19,17,39.503156935811546
19,18,52.94746512876303
19,19,59.423639342168386
19,20,56.85729249629695
19,21,51.38933109345214
19,22,45.46323201540302
19,23,31.35365798128096
19,24,22.404459588277266
20,1,12.817412714008707
20,2,8.98092951518021
20,3,6.8481628903861935
20,4,5.973381255393152
20,5,8.124095390800806
20,6,12.802508002574935
20,7,18.402780332436617
20,8,23.84855467604861
20,9,28.07482050291565
20,10,25.41276092842729
20,11,23.22138921774631
20,12,25.58247821982824
20,13,28.729745532547128
20,14,24.737749548686267
20,15,22.589671733772263
20,16,25.76605855884045
20,17,33.74729705964334
20,18,41.872579307132
20,19,52.52605770421628
20,20,47.75652400585503
20,21,44.045974368436454
20,22,38.581519347089014
20,23,27.919085630920197
20,24,18.900636579100805
21,1,12.482999928958064
21,2,9.306622487783272
21,3,7.2755925978612535
21,4,5.853493398153059
21,5,8.529765508042415
21,6,12.5147895213557
21,7,19.983647890914796
21,8,23.444925285334094
21,9,29.076613608869227
21,10,26.427424770089836
21,11,22.79182358420616
21,12,26.425056795791466
21,13,26.89781876761621
21,14,25.560504619629025
21,15,21.880441909617286
21,16,26.14764764441385
21,17,34.69747235685799
21,18,44.63001411758186
21,19,52.6293698427278
21,20,49.78949788766137
21,21,43.0314578323519
21,22,38.53830226693393
21,23,27.91077350947654
21,24,19.211839195320877
22,1,14.976822403353257
22,2,10.926063486175549
22,3,8.67681150119825
22,4,7.345949923060398
22,5,9.745516157323618
22,6,15.34807289101866
22,7,22.223933124989966
22,8,28.10671920302357
22,9,33.03693956731637
22,10,28.558047238591442
22,11,26.336748049397173
22,12,29.10561949150451
22,13,34.05698308952558
22,14,29.66621441209295
22,15,26.359153373209075
22,16,29.931203046647838
22,17,41.34755248194507
22,18,53.19007165891296
22,19,60.420350635612934
22,20,56.46873984745963
22,21,51.37522530356308
22,22,42.368748637675914
22,23,32.28596587014676
22,24,22.137254440846302
23,1,14.747321204482914
23,2,10.463180466150007
23,3,7.928199941752592
23,4,7.0611654906974834
23,5,9.473919680935603
23,6,14.45640708530386
23,7,22.71137791496899
23,8,27.390519067647947
23,9,35.02798390703326
23,10,31.09189208380975
23,11,27.05117111346794
23,12,28.98669980187458
23,13,34.134019736224914
23,14,30.59130147532335
23,15,26.656324609341432
23,16,29.99180364931054
23,17,43.31476277036003
23,18,53.108102279601
23,19,59.560144657970966
23,20,53.188318496195265
23,21,51.00389043199823
23,22,44.70876400111827
23,23,33.06569630209045
23,24,23.079702950527988
24,1,15.363729906177566
24,2,10.141386911895017
24,3,8.383390981386
24,4,7.22401500868803
24,5,9.563419664357719
24,6,14.57997612030869
24,7,21.54666418121544
24,8,27.69685367341395
24,9,33.6734781020874
24,10,31.339548623066204
24,11,26.61534611078745
24,12,30.440939470546816
24,13,33.58221600889547
24,14,29.134612402396606
24,15,27.32479260477099
24,16,29.84032121441719
24,17,42.2956499820379
24,18,57.985745687578714
24,19,62.530581552030156
24,20,53.52133069446086
24,21,51.9949378028563
24,22,43.4152542101815
24,23,32.70832025666237
24,24,22.401955248619775
25,1,15.615319104148133
25,2,10.43729395865731
25,3,8.239087020630002
25,4,7.1829508663023125
25,5,9.604225917922172
25,6,14.830019066987186
25,7,22.036461576786927
25,8,27.269629384157724
25,9,33.17669405092051
25,10,29.20862752265127
25,11,25.852760480815654
25,12,31.518458440700634
25,13,32.79200834574234
25,14,29.66782404136794
25,15,25.696549684101747
25,16,29.963785301025826
25,17,41.54955236461046
25,18,53.32901518003175
25,19,57.78197117648848
25,20,56.170006054571786
25,21,53.048192970924006
25,22,44.205972546782135
25,23,32.98268088647644
25,24,21.757206350220756
26,1,14.75962755746939
26,2,10.752774064572003
26,3,7.8916044193780825
26,4,7.119578887995868
26,5,9.509941053906124
26,6,14.728705495054927
26,7,22.750250112607247
26,8,27.39888186903107
26,9,33.495688542298865
26,10,30.18959729182088
26,11,26.1943967359898
26,12,28.9017411547904
26,13,33.068729873501546
26,14,30.03228100232208
26,15,25.583309528117738
26,16,30.15665994855085
26,17,37.469658012930054
26,18,52.88752239292627
26,19,59.698769687931815
26,20,55.10102818941393
26,21,48.59694907133773
26,22,45.348988600968426
26,23,33.014884335967366
26,24,22.010791090306654
27,1,12.952052547623952
27,2,8.569236720421596
27,3,7.22298483879932
27,4,6.26472468137306
27,5,7.927322659824315
27,6,12.765706445911064
27,7,18.6117570516495
27,8,23.537796473739842
27,9,27.56283081216469
27,10,25.551890297933618
27,11,22.845072110172953
27,12,26.07397945417181
27,13,28.672378185910794
27,14,26.415137506898454
27,15,22.369733703555212
27,16,25.217479597073527
